epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.65611,2.1481056,0.248759,0.24264705,False,,,1,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-45,1583766045,6.457076072692871,6.457076072692871,2413,Maximilians-MacBook-Pro.local,10.183.65.158,6.457076072692871,0,1,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
1,1.851454,1.7794887,0.298275,0.18979779,False,,,2,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-46,1583766046,0.5590977668762207,7.016173839569092,2413,Maximilians-MacBook-Pro.local,10.183.65.158,7.016173839569092,0,2,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
2,1.745073,1.7655485,0.19719534,0.19255514,False,,,3,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-46,1583766046,0.40123820304870605,7.417412042617798,2413,Maximilians-MacBook-Pro.local,10.183.65.158,7.417412042617798,0,3,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
3,1.7185581,1.7258039,0.22927526,0.22840074,False,,,4,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-46,1583766046,0.377047061920166,7.794459104537964,2413,Maximilians-MacBook-Pro.local,10.183.65.158,7.794459104537964,0,4,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
4,1.6443002,1.6154715,0.30063292,0.30055147,False,,,5,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-47,1583766047,0.3458719253540039,8.140331029891968,2413,Maximilians-MacBook-Pro.local,10.183.65.158,8.140331029891968,0,5,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
5,1.4712135,1.4727111,0.39985108,0.44485295,False,,,6,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-47,1583766047,0.3397812843322754,8.480112314224243,2413,Maximilians-MacBook-Pro.local,10.183.65.158,8.480112314224243,0,6,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
6,1.3012749,1.4052465,0.4757384,0.39659926,False,,,7,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-47,1583766047,0.3191077709197998,8.799220085144043,2413,Maximilians-MacBook-Pro.local,10.183.65.158,8.799220085144043,0,7,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
7,1.1976213,1.4073946,0.4808265,0.4751838,False,,,8,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-48,1583766048,0.3348672389984131,9.134087324142456,2413,Maximilians-MacBook-Pro.local,10.183.65.158,9.134087324142456,0,8,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
8,1.138313,1.4193447,0.51185155,0.44944853,False,,,9,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-48,1583766048,0.3427577018737793,9.476845026016235,2413,Maximilians-MacBook-Pro.local,10.183.65.158,9.476845026016235,0,9,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
9,1.0486021,1.3813841,0.5418218,0.5363051,False,,,10,d4f5701d18cf4718918fdf68d8228406,2020-03-09_16-00-48,1583766048,0.3141899108886719,9.791034936904907,2413,Maximilians-MacBook-Pro.local,10.183.65.158,9.791034936904907,0,10,acc8d910,"3_batch_size=128,data_preprocessing=full,dim_hidden=12,lr=0.07236,use_lstm=False"
