epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.5410274,1.4738054,0.31793103,0.44705883,False,,,1,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-14,1583507234,18.385499000549316,18.385499000549316,2784,Maximilians-MacBook-Pro.local,10.183.65.158,18.385499000549316,0,1,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
1,1.3540671,1.3987727,0.29517242,0.4602353,False,,,2,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-15,1583507235,0.6201260089874268,19.005625009536743,2784,Maximilians-MacBook-Pro.local,10.183.65.158,19.005625009536743,0,2,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
2,1.329233,1.4552318,0.3121552,0.44705883,False,,,3,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-15,1583507235,0.6927962303161621,19.698421239852905,2784,Maximilians-MacBook-Pro.local,10.183.65.158,19.698421239852905,0,3,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
3,1.3112155,1.2589806,0.38715518,0.46964705,False,,,4,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-17,1583507237,0.6692049503326416,20.367626190185547,2784,Maximilians-MacBook-Pro.local,10.183.65.158,20.367626190185547,0,4,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
4,1.2452759,1.4227108,0.42715517,0.4084706,False,,,5,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-18,1583507238,0.8909018039703369,21.258527994155884,2784,Maximilians-MacBook-Pro.local,10.183.65.158,21.258527994155884,0,5,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
5,1.2511913,1.1856272,0.42327586,0.5435294,False,,,6,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-19,1583507239,0.6658182144165039,21.924346208572388,2784,Maximilians-MacBook-Pro.local,10.183.65.158,21.924346208572388,0,6,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
6,1.2338116,1.4616613,0.4574138,0.4602353,False,,,7,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-20,1583507240,0.9004230499267578,22.824769258499146,2784,Maximilians-MacBook-Pro.local,10.183.65.158,22.824769258499146,0,7,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
7,1.5407499,1.2589446,0.36784482,0.48117647,False,,,8,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-22,1583507242,0.6946978569030762,23.51946711540222,2784,Maximilians-MacBook-Pro.local,10.183.65.158,23.51946711540222,0,8,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
8,1.3251079,1.2851523,0.41672415,0.52117646,False,,,9,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-23,1583507243,0.8305180072784424,24.349985122680664,2784,Maximilians-MacBook-Pro.local,10.183.65.158,24.349985122680664,0,9,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
9,1.3525281,1.2427355,0.40344828,0.5058824,False,,,10,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-24,1583507244,0.8378269672393799,25.187812089920044,2784,Maximilians-MacBook-Pro.local,10.183.65.158,25.187812089920044,0,10,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
10,1.3273044,1.4115084,0.375,0.31388235,False,,,11,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-24,1583507244,0.917726993560791,26.105539083480835,2784,Maximilians-MacBook-Pro.local,10.183.65.158,26.105539083480835,0,11,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
11,1.3944552,1.206347,0.38965517,0.49952942,False,,,12,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-25,1583507245,0.515009880065918,26.620548963546753,2784,Maximilians-MacBook-Pro.local,10.183.65.158,26.620548963546753,0,12,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
12,1.25569,1.2691392,0.41465518,0.5002353,False,,,13,ac949c21d44747da8be56bfdcc239726,2020-03-06_16-07-26,1583507246,0.5963189601898193,27.216867923736572,2784,Maximilians-MacBook-Pro.local,10.183.65.158,27.216867923736572,0,13,6952a6c4,"26_batch_size=16,data_preprocessing=high_pass,dim_hidden=12,lr=0.036564,return_sequences=True,stateful=False"
