epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.7772009,1.7360708,0.1958917,0.2576389,False,,,1,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-39,1583765079,10.228596925735474,10.228596925735474,1966,Maximilians-MacBook-Pro.local,10.183.65.158,10.228596925735474,0,1,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
1,1.6555432,1.6231829,0.30943045,0.39375,False,,,2,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-39,1583765079,0.11754107475280762,10.346138000488281,1966,Maximilians-MacBook-Pro.local,10.183.65.158,10.346138000488281,0,2,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
2,1.481988,1.4889177,0.34229693,0.37986112,False,,,3,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-39,1583765079,0.1346607208251953,10.480798721313477,1966,Maximilians-MacBook-Pro.local,10.183.65.158,10.480798721313477,0,3,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
3,1.3409911,1.5956613,0.38683474,0.30277777,False,,,4,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-39,1583765079,0.12875103950500488,10.609549760818481,1966,Maximilians-MacBook-Pro.local,10.183.65.158,10.609549760818481,0,4,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
4,1.2956693,1.4924959,0.38207284,0.44930556,False,,,5,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-39,1583765079,0.1308438777923584,10.74039363861084,1966,Maximilians-MacBook-Pro.local,10.183.65.158,10.74039363861084,0,5,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
5,1.397984,1.5761735,0.4417367,0.37986112,False,,,6,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.1656482219696045,10.906041860580444,1966,Maximilians-MacBook-Pro.local,10.183.65.158,10.906041860580444,0,6,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
6,1.3655549,2.0173771,0.4343604,0.38680556,False,,,7,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.12935090065002441,11.035392761230469,1966,Maximilians-MacBook-Pro.local,10.183.65.158,11.035392761230469,0,7,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
7,1.3590338,1.5483907,0.43193278,0.50208336,False,,,8,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.13675308227539062,11.17214584350586,1966,Maximilians-MacBook-Pro.local,10.183.65.158,11.17214584350586,0,8,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
8,1.1973829,1.4056653,0.4665733,0.4923611,False,,,9,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.12783002853393555,11.299975872039795,1966,Maximilians-MacBook-Pro.local,10.183.65.158,11.299975872039795,0,9,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
9,1.2499282,1.6739515,0.41839403,0.4236111,False,,,10,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.14373111724853516,11.44370698928833,1966,Maximilians-MacBook-Pro.local,10.183.65.158,11.44370698928833,0,10,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
10,1.2176164,1.3862132,0.4376284,0.55694443,False,,,11,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.12517499923706055,11.56888198852539,1966,Maximilians-MacBook-Pro.local,10.183.65.158,11.56888198852539,0,11,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
11,1.1533645,1.4185647,0.48524743,0.57569444,False,,,12,faf44e192ca748eb9855dc696a347a4f,2020-03-09_15-44-40,1583765080,0.1262831687927246,11.695165157318115,1966,Maximilians-MacBook-Pro.local,10.183.65.158,11.695165157318115,0,12,b8effb2c,"12_batch_size=64,data_preprocessing=full,dim_hidden=6,lr=0.031576,use_lstm=True"
