epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.4451582,1.3231412,0.39230305,0.45864815,False,,,1,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-30-30,1583523030,14.986560106277466,14.986560106277466,7283,home,10.183.96.137,14.986560106277466,0,1,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
1,1.1574001,1.26708,0.49160764,0.44746122,False,,,2,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-30-37,1583523037,6.802294731140137,21.788854837417603,7283,home,10.183.96.137,21.788854837417603,0,2,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
2,1.0489001,1.3820741,0.53632855,0.43223852,False,,,3,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-30-44,1583523044,6.77225661277771,28.561111450195312,7283,home,10.183.96.137,28.561111450195312,0,3,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
3,0.9512844,1.3389461,0.5778271,0.47634837,False,,,4,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-30-51,1583523051,7.180565595626831,35.741677045822144,7283,home,10.183.96.137,35.741677045822144,0,4,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
4,0.8850339,1.5941262,0.5971547,0.5290329,False,,,5,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-30-58,1583523058,7.02908182144165,42.770758867263794,7283,home,10.183.96.137,42.770758867263794,0,5,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
5,0.80626523,1.4394361,0.6223661,0.5483045,False,,,6,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-05,1583523065,7.226396083831787,49.99715495109558,7283,home,10.183.96.137,49.99715495109558,0,6,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
6,0.8428751,1.2299542,0.61684257,0.54997724,False,,,7,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-13,1583523073,7.82357931137085,57.82073426246643,7283,home,10.183.96.137,57.82073426246643,0,7,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
7,0.7817584,1.5902132,0.63249195,0.50344133,False,,,8,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-20,1583523080,7.112712383270264,64.9334466457367,7283,home,10.183.96.137,64.9334466457367,0,8,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
8,0.718205,1.5044078,0.657751,0.5601101,False,,,9,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-27,1583523087,7.135952949523926,72.06939959526062,7283,home,10.183.96.137,72.06939959526062,0,9,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
9,0.68464535,1.8954643,0.6633388,0.47870576,False,,,10,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-35,1583523095,7.501063585281372,79.57046318054199,7283,home,10.183.96.137,79.57046318054199,0,10,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
10,0.6285599,1.6284654,0.69102675,0.56678987,False,,,11,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-42,1583523102,7.254132032394409,86.8245952129364,7283,home,10.183.96.137,86.8245952129364,0,11,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
11,0.56010306,1.9131318,0.72592145,0.51312035,False,,,12,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-50,1583523110,7.342625617980957,94.16722083091736,7283,home,10.183.96.137,94.16722083091736,0,12,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
12,0.5745006,1.1932665,0.7329891,0.6146001,False,,,13,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-31-57,1583523117,7.3154685497283936,101.48268938064575,7283,home,10.183.96.137,101.48268938064575,0,13,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
13,0.50812006,1.6183282,0.75377494,0.5493039,False,,,14,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-11,1583523131,6.872955799102783,108.35564517974854,7283,home,10.183.96.137,108.35564517974854,0,14,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
14,0.503826,1.5366849,0.75708914,0.6542805,False,,,15,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-18,1583523138,6.211868762969971,114.5675139427185,7283,home,10.183.96.137,114.5675139427185,0,15,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
15,0.4542115,1.40189,0.77532244,0.6447795,False,,,16,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-25,1583523145,7.539685964584351,122.10719990730286,7283,home,10.183.96.137,122.10719990730286,0,16,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
16,0.45312566,1.5785806,0.7756199,0.6222058,False,,,17,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-34,1583523154,8.333698987960815,130.44089889526367,7283,home,10.183.96.137,130.44089889526367,0,17,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
17,0.43328375,1.3914295,0.7871527,0.66272813,False,,,18,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-43,1583523163,8.298857688903809,138.73975658416748,7283,home,10.183.96.137,138.73975658416748,0,18,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
18,0.41622707,1.1202958,0.7910376,0.67715746,False,,,19,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-51,1583523171,8.078673124313354,146.81842970848083,7283,home,10.183.96.137,146.81842970848083,0,19,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
19,0.41541347,1.510362,0.7929745,0.60850954,False,,,20,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-32-59,1583523179,7.682297945022583,154.50072765350342,7283,home,10.183.96.137,154.50072765350342,0,20,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
20,2.191635,1.5883636,0.43705374,0.29771507,False,,,21,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-11,1583523191,8.870616912841797,163.37134456634521,7283,home,10.183.96.137,163.37134456634521,0,21,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
21,1.5805639,1.4200956,0.35533264,0.32276803,False,,,22,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-19,1583523199,7.822047233581543,171.19339179992676,7283,home,10.183.96.137,171.19339179992676,0,22,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
22,1.3399707,1.5472926,0.42890146,0.3632676,False,,,23,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-26,1583523206,7.6262125968933105,178.81960439682007,7283,home,10.183.96.137,178.81960439682007,0,23,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
23,1.2682453,1.2750021,0.46178302,0.43067485,False,,,24,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-34,1583523214,7.864354848861694,186.68395924568176,7283,home,10.183.96.137,186.68395924568176,0,24,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
24,1.1313069,1.3250222,0.4911215,0.44364724,False,,,25,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-43,1583523223,8.298766851425171,194.98272609710693,7283,home,10.183.96.137,194.98272609710693,0,25,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
25,1.0668168,1.5214295,0.50407946,0.42256996,False,,,26,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-50,1583523230,7.7211668491363525,202.7038929462433,7283,home,10.183.96.137,202.7038929462433,0,26,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
26,1.1517453,1.8867171,0.5014711,0.38857973,False,,,27,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-33-59,1583523239,8.174177169799805,210.8780701160431,7283,home,10.183.96.137,210.8780701160431,0,27,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
27,1.0472087,1.3547202,0.53413165,0.41603366,False,,,28,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-34-06,1583523246,7.865307331085205,218.7433774471283,7283,home,10.183.96.137,218.7433774471283,0,28,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
28,1.0163808,1.633183,0.528864,0.4547221,False,,,29,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-34-14,1583523254,7.282907247543335,226.02628469467163,7283,home,10.183.96.137,226.02628469467163,0,29,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
29,1.077283,1.2564943,0.52344084,0.4705159,False,,,30,e578638138fe400fb4b2fe095d76a863,2020-03-06_20-34-26,1583523266,8.161768913269043,234.18805360794067,7283,home,10.183.96.137,234.18805360794067,0,30,10376d50,"4_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.035588,stateful=True,use_lstm=False"
