epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.4229784,1.3403037,0.40745658,0.41144335,False,,,1,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-24,1583523144,13.516109943389893,13.516109943389893,7286,home,10.183.96.137,13.516109943389893,0,1,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
1,1.1100118,1.3821121,0.51709336,0.4353882,False,,,2,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-30,1583523150,6.1037797927856445,19.619889736175537,7286,home,10.183.96.137,19.619889736175537,0,2,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
2,1.0478787,1.5541939,0.53973943,0.42856756,False,,,3,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-35,1583523155,4.942445993423462,24.562335729599,7286,home,10.183.96.137,24.562335729599,0,3,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
3,1.0434777,1.3395512,0.5341479,0.4106876,False,,,4,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-41,1583523161,6.153774261474609,30.71610999107361,7286,home,10.183.96.137,30.71610999107361,0,4,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
4,0.8724697,1.3953615,0.59950566,0.4713312,False,,,5,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-47,1583523167,5.61474871635437,36.33085870742798,7286,home,10.183.96.137,36.33085870742798,0,5,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
5,0.84446514,1.52068,0.60470235,0.4947342,False,,,6,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-53,1583523173,5.7108025550842285,42.04166126251221,7286,home,10.183.96.137,42.04166126251221,0,6,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
6,0.89705116,1.4302341,0.6057021,0.5225648,False,,,7,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-32-58,1583523178,5.726168632507324,47.76782989501953,7286,home,10.183.96.137,47.76782989501953,0,7,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
7,0.82659584,1.3139501,0.6058976,0.60434306,False,,,8,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-33-03,1583523183,4.263924598693848,52.03175449371338,7286,home,10.183.96.137,52.03175449371338,0,8,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
8,0.7141073,1.5843002,0.66302305,0.55705714,False,,,9,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-33-09,1583523189,6.22026252746582,58.2520170211792,7286,home,10.183.96.137,58.2520170211792,0,9,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
9,1.411666,5.536418,0.60345036,0.21277203,False,,,10,b765f4052bcf4574857a09ca7b6a3ff0,2020-03-06_20-33-15,1583523195,6.043166875839233,64.29518389701843,7286,home,10.183.96.137,64.29518389701843,0,10,11e662a0,"5_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.097977,stateful=True,use_lstm=False"
