epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.9942948,1.7375462,0.24318008,0.38492376,False,,,1,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-05-58,1583525158,9.734410524368286,9.734410524368286,7293,home,10.183.96.137,9.734410524368286,0,1,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
1,1.5170599,1.38136,0.39245212,0.41962963,False,,,2,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-05-59,1583525159,1.4381866455078125,11.172597169876099,7293,home,10.183.96.137,11.172597169876099,0,2,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
2,1.336357,1.3258219,0.42940614,0.40139434,False,,,3,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-01,1583525161,1.4604926109313965,12.633089780807495,7293,home,10.183.96.137,12.633089780807495,0,3,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
3,1.2258683,1.3004624,0.4809866,0.43747276,False,,,4,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-02,1583525162,1.4040215015411377,14.037111282348633,7293,home,10.183.96.137,14.037111282348633,0,4,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
4,1.1349802,1.2486948,0.5095785,0.44490197,False,,,5,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-04,1583525164,1.35402250289917,15.391133785247803,7293,home,10.183.96.137,15.391133785247803,0,5,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
5,1.077817,1.2776023,0.5323467,0.46640524,False,,,6,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-05,1583525165,1.284719705581665,16.675853490829468,7293,home,10.183.96.137,16.675853490829468,0,6,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
6,1.1204973,1.2318857,0.52237546,0.44169936,False,,,7,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-06,1583525166,1.4432399272918701,18.119093418121338,7293,home,10.183.96.137,18.119093418121338,0,7,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
7,1.0910617,1.3367094,0.5262548,0.45265794,False,,,8,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-08,1583525168,1.3796534538269043,19.498746871948242,7293,home,10.183.96.137,19.498746871948242,0,8,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
8,1.0164894,1.1548494,0.5677682,0.5394118,False,,,9,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-09,1583525169,1.4176092147827148,20.916356086730957,7293,home,10.183.96.137,20.916356086730957,0,9,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
9,0.91259736,1.2042649,0.61382186,0.49056646,False,,,10,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-10,1583525170,1.1711456775665283,22.087501764297485,7293,home,10.183.96.137,22.087501764297485,0,10,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
10,0.88226515,1.3016251,0.6315996,0.49917212,False,,,11,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-13,1583525173,1.2905011177062988,23.378002882003784,7293,home,10.183.96.137,23.378002882003784,0,11,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
11,0.79336756,1.3119943,0.66948277,0.5151852,False,,,12,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-15,1583525175,1.407423496246338,24.785426378250122,7293,home,10.183.96.137,24.785426378250122,0,12,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
12,0.81664836,1.2187176,0.6453831,0.5481917,False,,,13,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-16,1583525176,1.3693962097167969,26.15482258796692,7293,home,10.183.96.137,26.15482258796692,0,13,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
13,0.78835565,1.2762902,0.6646839,0.5439869,False,,,14,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-18,1583525178,1.285463809967041,27.44028639793396,7293,home,10.183.96.137,27.44028639793396,0,14,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
14,0.76759243,1.2628261,0.6880843,0.5532244,False,,,15,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-19,1583525179,1.2722632884979248,28.712549686431885,7293,home,10.183.96.137,28.712549686431885,0,15,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
15,0.72068673,1.3372375,0.6972701,0.5330719,False,,,16,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-20,1583525180,1.3071770668029785,30.019726753234863,7293,home,10.183.96.137,30.019726753234863,0,16,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
16,0.680267,1.2852852,0.71319926,0.5280392,False,,,17,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-21,1583525181,1.3531873226165771,31.37291407585144,7293,home,10.183.96.137,31.37291407585144,0,17,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
17,0.69201815,1.2446309,0.6981705,0.5526797,False,,,18,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-23,1583525183,1.4499366283416748,32.822850704193115,7293,home,10.183.96.137,32.822850704193115,0,18,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
18,0.6861892,1.2337878,0.70255744,0.5816122,False,,,19,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-24,1583525184,1.4378538131713867,34.2607045173645,7293,home,10.183.96.137,34.2607045173645,0,19,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
19,0.6519734,1.1827685,0.71711683,0.6012201,False,,,20,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-26,1583525186,1.3370163440704346,35.59772086143494,7293,home,10.183.96.137,35.59772086143494,0,20,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
20,0.62647295,1.3582575,0.73025864,0.56973857,False,,,21,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-30,1583525190,1.2990450859069824,36.89676594734192,7293,home,10.183.96.137,36.89676594734192,0,21,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
21,0.6565739,1.2733349,0.7239368,0.5982135,False,,,22,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-32,1583525192,1.3064157962799072,38.203181743621826,7293,home,10.183.96.137,38.203181743621826,0,22,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
22,0.6255837,1.4562633,0.7356418,0.5791939,False,,,23,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-33,1583525193,1.3707671165466309,39.57394886016846,7293,home,10.183.96.137,39.57394886016846,0,23,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
23,0.60808843,1.1807957,0.74596745,0.6094118,False,,,24,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-34,1583525194,1.3951475620269775,40.969096422195435,7293,home,10.183.96.137,40.969096422195435,0,24,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
24,0.6105906,1.4168307,0.73799807,0.5837255,False,,,25,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-36,1583525196,1.4289817810058594,42.398078203201294,7293,home,10.183.96.137,42.398078203201294,0,25,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
25,0.58816373,1.2844272,0.75199234,0.6156645,False,,,26,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-37,1583525197,1.384380578994751,43.782458782196045,7293,home,10.183.96.137,43.782458782196045,0,26,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
26,0.5781638,1.1837865,0.7548755,0.6434423,False,,,27,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-38,1583525198,1.2692384719848633,45.05169725418091,7293,home,10.183.96.137,45.05169725418091,0,27,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
27,0.5979277,1.237247,0.74449235,0.6196296,False,,,28,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-40,1583525200,1.2782261371612549,46.32992339134216,7293,home,10.183.96.137,46.32992339134216,0,28,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
28,0.5636506,1.3928384,0.76056516,0.606732,False,,,29,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-41,1583525201,1.3092827796936035,47.63920617103577,7293,home,10.183.96.137,47.63920617103577,0,29,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
29,0.56185794,1.4273185,0.75826627,0.5970806,False,,,30,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-42,1583525202,1.40187668800354,49.04108285903931,7293,home,10.183.96.137,49.04108285903931,0,30,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
30,0.5788421,1.2807723,0.7430364,0.62492377,False,,,31,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-44,1583525204,1.309293508529663,50.35037636756897,7293,home,10.183.96.137,50.35037636756897,0,31,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
31,0.57618284,1.4318898,0.75722224,0.61265796,False,,,32,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-45,1583525205,1.2973778247833252,51.647754192352295,7293,home,10.183.96.137,51.647754192352295,0,32,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
32,0.5855999,1.3454324,0.7485728,0.5920915,False,,,33,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-46,1583525206,1.3798983097076416,53.02765250205994,7293,home,10.183.96.137,53.02765250205994,0,33,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
33,0.5656343,1.1282755,0.7593582,0.63633984,False,,,34,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-48,1583525208,1.360358715057373,54.38801121711731,7293,home,10.183.96.137,54.38801121711731,0,34,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
34,0.56081295,1.1951103,0.7556897,0.6279303,False,,,35,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-49,1583525209,1.3807094097137451,55.768720626831055,7293,home,10.183.96.137,55.768720626831055,0,35,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
35,0.56221956,1.2272915,0.75517243,0.6258606,False,,,36,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-50,1583525210,1.2985689640045166,57.06728959083557,7293,home,10.183.96.137,57.06728959083557,0,36,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
36,0.54296833,1.0833627,0.7627682,0.65662307,False,,,37,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-52,1583525212,1.3596687316894531,58.426958322525024,7293,home,10.183.96.137,58.426958322525024,0,37,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
37,0.54461557,1.1443937,0.76484674,0.6540741,False,,,38,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-53,1583525213,1.343468427658081,59.770426750183105,7293,home,10.183.96.137,59.770426750183105,0,38,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
38,0.5382126,1.4473829,0.76845783,0.58379084,False,,,39,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-57,1583525217,1.2728557586669922,61.0432825088501,7293,home,10.183.96.137,61.0432825088501,0,39,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
39,0.56122816,1.236654,0.7549138,0.6273856,False,,,40,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-06-58,1583525218,1.401747226715088,62.445029735565186,7293,home,10.183.96.137,62.445029735565186,0,40,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
40,0.53382945,1.3060592,0.77350575,0.63058823,False,,,41,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-03,1583525223,1.1674270629882812,63.61245679855347,7293,home,10.183.96.137,63.61245679855347,0,41,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
41,0.52239084,1.1492499,0.78136975,0.6398693,False,,,42,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-04,1583525224,1.2334957122802734,64.84595251083374,7293,home,10.183.96.137,64.84595251083374,0,42,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
42,0.5187536,1.0712748,0.7757471,0.6720479,False,,,43,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-05,1583525225,1.4126858711242676,66.25863838195801,7293,home,10.183.96.137,66.25863838195801,0,43,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
43,0.51730525,1.2708429,0.7815134,0.6340523,False,,,44,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-07,1583525227,1.3879833221435547,67.64662170410156,7293,home,10.183.96.137,67.64662170410156,0,44,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
44,0.50410223,1.0568701,0.78705937,0.673878,False,,,45,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-08,1583525228,1.3571219444274902,69.00374364852905,7293,home,10.183.96.137,69.00374364852905,0,45,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
45,0.50154483,1.2492535,0.7838314,0.666427,False,,,46,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-09,1583525229,1.327463150024414,70.33120679855347,7293,home,10.183.96.137,70.33120679855347,0,46,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
46,0.5330869,1.5261717,0.7704885,0.6171024,False,,,47,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-11,1583525231,1.420665979385376,71.75187277793884,7293,home,10.183.96.137,71.75187277793884,0,47,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
47,0.49745536,1.4412183,0.7858812,0.5996732,False,,,48,190e044c71af4beda8fe9f860d5416bf,2020-03-06_21-07-12,1583525232,1.3835349082946777,73.13540768623352,7293,home,10.183.96.137,73.13540768623352,0,48,1c201996,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.08016,stateful=False,use_lstm=False"
