epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.2963661,1.4241178,0.45274535,0.4238502,False,,,1,8138601866f14c599b869b9f72258bd7,2020-03-06_21-12-54,1583525574,15.125278949737549,15.125278949737549,16975,home,10.183.96.137,15.125278949737549,0,1,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
1,1.0258713,1.2023635,0.5493172,0.5252276,False,,,2,8138601866f14c599b869b9f72258bd7,2020-03-06_21-12-59,1583525579,5.487613916397095,20.612892866134644,16975,home,10.183.96.137,20.612892866134644,0,2,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
2,0.89973366,1.3138912,0.5953428,0.49472067,False,,,3,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-08,1583525588,6.158575534820557,26.7714684009552,16975,home,10.183.96.137,26.7714684009552,0,3,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
3,0.84686166,1.6050099,0.6035226,0.45600995,False,,,4,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-14,1583525594,6.364034175872803,33.135502576828,16975,home,10.183.96.137,33.135502576828,0,4,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
4,0.7426353,1.4342747,0.6509835,0.56831384,False,,,5,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-20,1583525600,6.332590579986572,39.468093156814575,16975,home,10.183.96.137,39.468093156814575,0,5,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
5,0.7866616,1.1194785,0.6395961,0.5851678,False,,,6,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-26,1583525606,5.72283935546875,45.190932512283325,16975,home,10.183.96.137,45.190932512283325,0,6,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
6,1.034852,1.450782,0.5745068,0.50078815,False,,,7,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-33,1583525613,6.592072486877441,51.78300499916077,16975,home,10.183.96.137,51.78300499916077,0,7,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
7,0.8353796,1.5644717,0.61520153,0.48802462,False,,,8,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-40,1583525620,6.376035690307617,58.159040689468384,16975,home,10.183.96.137,58.159040689468384,0,8,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
8,0.7838135,1.6928526,0.6393643,0.53712827,False,,,9,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-48,1583525628,6.459214210510254,64.61825489997864,16975,home,10.183.96.137,64.61825489997864,0,9,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
9,0.78543377,1.7740579,0.637078,0.47790462,False,,,10,8138601866f14c599b869b9f72258bd7,2020-03-06_21-13-54,1583525634,5.941205978393555,70.55946087837219,16975,home,10.183.96.137,70.55946087837219,0,10,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
10,0.73083776,1.9323804,0.6549173,0.516147,False,,,11,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-02,1583525642,6.391810417175293,76.95127129554749,16975,home,10.183.96.137,76.95127129554749,0,11,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
11,0.67443186,1.5161761,0.6719401,0.5657231,False,,,12,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-09,1583525649,6.300871849060059,83.25214314460754,16975,home,10.183.96.137,83.25214314460754,0,12,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
12,0.72157,2.0429692,0.6611241,0.5084321,False,,,13,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-15,1583525655,6.306382656097412,89.55852580070496,16975,home,10.183.96.137,89.55852580070496,0,13,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
13,0.66507906,1.4458352,0.67985296,0.5680032,False,,,14,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-21,1583525661,5.738831996917725,95.29735779762268,16975,home,10.183.96.137,95.29735779762268,0,14,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
14,0.6064751,1.3655847,0.6996039,0.6264888,False,,,15,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-27,1583525667,5.090452432632446,100.38781023025513,16975,home,10.183.96.137,100.38781023025513,0,15,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
15,0.5863513,1.4490819,0.7052874,0.5899742,False,,,16,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-34,1583525674,6.07761287689209,106.46542310714722,16975,home,10.183.96.137,106.46542310714722,0,16,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
16,0.59926105,1.3822278,0.6986865,0.649311,False,,,17,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-40,1583525680,6.204118490219116,112.66954159736633,16975,home,10.183.96.137,112.66954159736633,0,17,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
17,0.59916383,1.7438864,0.70939636,0.5920654,False,,,18,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-47,1583525687,6.626445293426514,119.29598689079285,16975,home,10.183.96.137,119.29598689079285,0,18,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
18,0.52819926,1.8794585,0.73175395,0.5882389,False,,,19,8138601866f14c599b869b9f72258bd7,2020-03-06_21-14-53,1583525693,6.01410984992981,125.31009674072266,16975,home,10.183.96.137,125.31009674072266,0,19,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
19,0.5310297,2.1620376,0.7225435,0.5529926,False,,,20,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-02,1583525702,6.837812662124634,132.1479094028473,16975,home,10.183.96.137,132.1479094028473,0,20,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
20,0.5321298,1.8500068,0.7261968,0.5963608,False,,,21,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-10,1583525710,5.911884307861328,138.05979371070862,16975,home,10.183.96.137,138.05979371070862,0,21,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
21,0.4935363,1.5186754,0.74166626,0.66456944,False,,,22,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-16,1583525716,6.210664987564087,144.2704586982727,16975,home,10.183.96.137,144.2704586982727,0,22,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
22,0.53425866,1.8803734,0.7276495,0.57573825,False,,,23,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-23,1583525723,6.29250168800354,150.56296038627625,16975,home,10.183.96.137,150.56296038627625,0,23,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
23,0.5186387,1.8008875,0.72783965,0.6458506,False,,,24,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-28,1583525728,5.280698537826538,155.84365892410278,16975,home,10.183.96.137,155.84365892410278,0,24,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
24,0.520115,1.6322286,0.73459023,0.5840615,False,,,25,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-34,1583525734,6.287569522857666,162.13122844696045,16975,home,10.183.96.137,162.13122844696045,0,25,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
25,0.49873605,1.5769359,0.7416185,0.6595869,False,,,26,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-40,1583525740,6.329080581665039,168.4603090286255,16975,home,10.183.96.137,168.4603090286255,0,26,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
26,0.4967815,1.9393458,0.7411008,0.6081698,False,,,27,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-46,1583525746,6.00629997253418,174.46660900115967,16975,home,10.183.96.137,174.46660900115967,0,27,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
27,0.49015385,2.3205554,0.7467257,0.58402467,False,,,28,8138601866f14c599b869b9f72258bd7,2020-03-06_21-15-54,1583525754,5.863709926605225,180.3303189277649,16975,home,10.183.96.137,180.3303189277649,0,28,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
28,0.51993316,2.036961,0.7280839,0.622109,False,,,29,8138601866f14c599b869b9f72258bd7,2020-03-06_21-16-03,1583525763,6.737992763519287,187.06831169128418,16975,home,10.183.96.137,187.06831169128418,0,29,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
29,0.4841053,1.63012,0.7477487,0.68148524,False,,,30,8138601866f14c599b869b9f72258bd7,2020-03-06_21-16-09,1583525769,6.306043386459351,193.37435507774353,16975,home,10.183.96.137,193.37435507774353,0,30,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
30,0.4612492,1.990946,0.7601996,0.63852125,False,,,31,8138601866f14c599b869b9f72258bd7,2020-03-06_21-16-15,1583525775,6.3247785568237305,199.69913363456726,16975,home,10.183.96.137,199.69913363456726,0,31,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
31,0.43915638,1.8068824,0.7630329,0.6611767,False,,,32,8138601866f14c599b869b9f72258bd7,2020-03-06_21-16-21,1583525781,5.934849739074707,205.63398337364197,16975,home,10.183.96.137,205.63398337364197,0,32,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
32,0.4292568,1.4246325,0.7686056,0.6849461,False,,,33,8138601866f14c599b869b9f72258bd7,2020-03-06_21-16-34,1583525794,5.598171949386597,211.23215532302856,16975,home,10.183.96.137,211.23215532302856,0,33,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
33,0.45003858,1.5035998,0.7528953,0.6824278,False,,,34,8138601866f14c599b869b9f72258bd7,2020-03-06_21-16-41,1583525801,5.9293389320373535,217.16149425506592,16975,home,10.183.96.137,217.16149425506592,0,34,1ddeaff4,"12_batch_size=64,data_preprocessing=high_pass,dim_hidden=6,lr=0.04536,stateful=True,use_lstm=True"
