epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.4333905,1.3388946,0.4069636,0.33943483,False,,,1,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-16-46,1583525806,11.672664880752563,11.672664880752563,17699,home,10.183.96.137,11.672664880752563,0,1,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
1,1.2293919,1.2849287,0.4763013,0.42826277,False,,,2,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-16-49,1583525809,3.712791681289673,15.385456562042236,17699,home,10.183.96.137,15.385456562042236,0,2,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
2,1.0783283,1.3030304,0.5318933,0.44396883,False,,,3,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-16-53,1583525813,3.7805395126342773,19.165996074676514,17699,home,10.183.96.137,19.165996074676514,0,3,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
3,0.95446104,1.3128829,0.5739297,0.47057664,False,,,4,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-16-57,1583525817,3.692178249359131,22.858174324035645,17699,home,10.183.96.137,22.858174324035645,0,4,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
4,0.8783966,1.3657494,0.59588605,0.5030541,False,,,5,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-01,1583525821,3.929389715194702,26.787564039230347,17699,home,10.183.96.137,26.787564039230347,0,5,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
5,1.0837189,1.6123337,0.5194325,0.4363335,False,,,6,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-04,1583525824,3.6898763179779053,30.477440357208252,17699,home,10.183.96.137,30.477440357208252,0,6,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
6,0.9404205,1.5709437,0.5757952,0.46754676,False,,,7,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-08,1583525828,3.1298043727874756,33.60724472999573,17699,home,10.183.96.137,33.60724472999573,0,7,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
7,0.857447,1.5041236,0.61312306,0.5061319,False,,,8,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-11,1583525831,3.3263654708862305,36.93361020088196,17699,home,10.183.96.137,36.93361020088196,0,8,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
8,0.82908595,1.3868214,0.6052446,0.51386756,False,,,9,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-15,1583525835,3.848816394805908,40.782426595687866,17699,home,10.183.96.137,40.782426595687866,0,9,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
9,0.79179335,1.8432304,0.6207704,0.46875212,False,,,10,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-19,1583525839,3.5900447368621826,44.37247133255005,17699,home,10.183.96.137,44.37247133255005,0,10,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
10,0.8323106,1.4495552,0.62861556,0.53056204,False,,,11,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-24,1583525844,4.089858531951904,48.46232986450195,17699,home,10.183.96.137,48.46232986450195,0,11,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
11,0.73526096,1.2557254,0.64452916,0.5621348,False,,,12,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-28,1583525848,3.650416612625122,52.112746477127075,17699,home,10.183.96.137,52.112746477127075,0,12,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
12,0.70503664,1.5231004,0.6528909,0.5373906,False,,,13,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-31,1583525851,3.552234411239624,55.6649808883667,17699,home,10.183.96.137,55.6649808883667,0,13,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
13,0.7268872,1.3985746,0.64294416,0.5623892,False,,,14,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-35,1583525855,3.6493279933929443,59.314308881759644,17699,home,10.183.96.137,59.314308881759644,0,14,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
14,0.6695576,1.4203444,0.67439336,0.5844612,False,,,15,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-39,1583525859,3.529066562652588,62.84337544441223,17699,home,10.183.96.137,62.84337544441223,0,15,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
15,0.67429954,1.7213938,0.67353636,0.5665686,False,,,16,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-42,1583525862,3.6311278343200684,66.4745032787323,17699,home,10.183.96.137,66.4745032787323,0,16,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
16,0.642439,2.3627322,0.6761469,0.50053334,False,,,17,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-46,1583525866,3.5243074893951416,69.99881076812744,17699,home,10.183.96.137,69.99881076812744,0,17,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
17,0.6959918,1.440178,0.66779876,0.59207344,False,,,18,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-17-58,1583525878,3.985398292541504,73.98420906066895,17699,home,10.183.96.137,73.98420906066895,0,18,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
18,0.5935995,1.5122166,0.7099554,0.56060094,False,,,19,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-01,1583525881,3.150606632232666,77.13481569290161,17699,home,10.183.96.137,77.13481569290161,0,19,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
19,0.5976811,1.3694628,0.7070099,0.61203027,False,,,20,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-04,1583525884,3.460954189300537,80.59576988220215,17699,home,10.183.96.137,80.59576988220215,0,20,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
20,0.57601434,1.4121326,0.71232504,0.6074768,False,,,21,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-11,1583525891,3.967229127883911,84.56299901008606,17699,home,10.183.96.137,84.56299901008606,0,21,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
21,0.57279414,1.5808903,0.70384985,0.5670404,False,,,22,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-14,1583525894,3.353776693344116,87.91677570343018,17699,home,10.183.96.137,87.91677570343018,0,22,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
22,0.55727756,1.4540673,0.7098106,0.63588554,False,,,23,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-18,1583525898,3.6535556316375732,91.57033133506775,17699,home,10.183.96.137,91.57033133506775,0,23,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
23,0.56232053,1.7369566,0.72017646,0.40009648,False,,,24,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-22,1583525902,3.49936842918396,95.06969976425171,17699,home,10.183.96.137,95.06969976425171,0,24,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
24,0.64283085,1.380409,0.67685235,0.60369885,False,,,25,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-25,1583525905,3.693207025527954,98.76290678977966,17699,home,10.183.96.137,98.76290678977966,0,25,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
25,0.51948565,1.5315049,0.73510116,0.5833441,False,,,26,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-29,1583525909,3.8779687881469727,102.64087557792664,17699,home,10.183.96.137,102.64087557792664,0,26,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
26,0.5016532,1.5045992,0.7328576,0.64862275,False,,,27,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-33,1583525913,3.7545433044433594,106.39541888237,17699,home,10.183.96.137,106.39541888237,0,27,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
27,0.4998638,1.5881826,0.74169683,0.6055226,False,,,28,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-36,1583525916,3.2398924827575684,109.63531136512756,17699,home,10.183.96.137,109.63531136512756,0,28,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
28,0.5219927,1.7233174,0.7310738,0.6191424,False,,,29,b2e9e3d45f3946d786642bbf776093bd,2020-03-06_21-18-40,1583525920,4.001707077026367,113.63701844215393,17699,home,10.183.96.137,113.63701844215393,0,29,1f9ac256,"13_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.034586,stateful=True,use_lstm=True"
