epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.3830106,1.3582748,0.41934666,0.40543553,False,,,1,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-11,1583526311,11.409171342849731,11.409171342849731,18577,home,10.183.96.137,11.409171342849731,0,1,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
1,1.1806306,1.2483155,0.49489686,0.43635684,False,,,2,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-15,1583526315,3.550855875015259,14.96002721786499,18577,home,10.183.96.137,14.96002721786499,0,2,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
2,0.99128026,1.402309,0.5605888,0.47155786,False,,,3,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-17,1583526317,2.7636613845825195,17.72368860244751,18577,home,10.183.96.137,17.72368860244751,0,3,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
3,0.9559873,1.64042,0.57257354,0.46053758,False,,,4,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-22,1583526322,4.1706132888793945,21.894301891326904,18577,home,10.183.96.137,21.894301891326904,0,4,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
4,0.8983933,1.5448985,0.60301733,0.48476365,False,,,5,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-26,1583526326,3.7769086360931396,25.671210527420044,18577,home,10.183.96.137,25.671210527420044,0,5,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
5,0.8295133,1.4179372,0.61117274,0.51703006,False,,,6,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-29,1583526329,3.489881753921509,29.161092281341553,18577,home,10.183.96.137,29.161092281341553,0,6,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
6,0.816859,1.2813727,0.629579,0.49058628,False,,,7,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-33,1583526333,3.9126646518707275,33.07375693321228,18577,home,10.183.96.137,33.07375693321228,0,7,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
7,0.80134475,1.58365,0.6284301,0.5104057,False,,,8,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-37,1583526337,3.4685251712799072,36.54228210449219,18577,home,10.183.96.137,36.54228210449219,0,8,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
8,0.8528287,1.1540315,0.630999,0.52671593,False,,,9,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-41,1583526341,3.713259220123291,40.25554132461548,18577,home,10.183.96.137,40.25554132461548,0,9,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
9,0.7881108,1.4830604,0.63137347,0.5127395,False,,,10,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-44,1583526344,3.592461585998535,43.848002910614014,18577,home,10.183.96.137,43.848002910614014,0,10,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
10,0.71191186,1.3954808,0.665667,0.56987363,False,,,11,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-48,1583526348,3.4499239921569824,47.297926902770996,18577,home,10.183.96.137,47.297926902770996,0,11,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
11,0.6671996,1.9552076,0.6777941,0.47355583,False,,,12,e7f70018951f469d85ac5239c8c9d4c3,2020-03-06_21-25-51,1583526351,3.7649927139282227,51.06291961669922,18577,home,10.183.96.137,51.06291961669922,0,12,231f7674,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=12,lr=0.050039,stateful=True,use_lstm=True"
