epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.3442682,1.0789049,0.58256835,0.6664063,False,,,1,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-09,1583415549,4.25772762298584,4.25772762298584,26017,home,10.183.96.137,4.25772762298584,0,1,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
1,1.0444922,0.7997005,0.58681643,0.6750488,False,,,2,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-11,1583415551,0.3925943374633789,4.650321960449219,26017,home,10.183.96.137,4.650321960449219,0,2,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
2,0.8111495,0.67765886,0.6634277,0.6995605,False,,,3,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-11,1583415551,0.30750608444213867,4.957828044891357,26017,home,10.183.96.137,4.957828044891357,0,3,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
3,0.69851255,0.7151127,0.7116211,0.7049316,False,,,4,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-11,1583415551,0.3580784797668457,5.315906524658203,26017,home,10.183.96.137,5.315906524658203,0,4,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
4,0.60854775,0.6709068,0.740332,0.7626953,False,,,5,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-12,1583415552,0.38480615615844727,5.70071268081665,26017,home,10.183.96.137,5.70071268081665,0,5,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
5,0.54852825,0.66150665,0.7668945,0.777002,False,,,6,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-12,1583415552,0.4063608646392822,6.107073545455933,26017,home,10.183.96.137,6.107073545455933,0,6,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
6,0.48197252,0.7798721,0.7961426,0.76279294,False,,,7,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-13,1583415553,0.39620089530944824,6.503274440765381,26017,home,10.183.96.137,6.503274440765381,0,7,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
7,0.44494286,0.5913273,0.81577146,0.796875,False,,,8,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-13,1583415553,0.2870640754699707,6.790338516235352,26017,home,10.183.96.137,6.790338516235352,0,8,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
8,0.42940098,0.85929275,0.8376465,0.78818357,False,,,9,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-13,1583415553,0.3402059078216553,7.130544424057007,26017,home,10.183.96.137,7.130544424057007,0,9,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
9,0.53393614,0.99293417,0.79833984,0.7746094,False,,,10,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-14,1583415554,0.3467118740081787,7.4772562980651855,26017,home,10.183.96.137,7.4772562980651855,0,10,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
10,0.530956,0.59965295,0.76293945,0.7645508,False,,,11,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-14,1583415554,0.3535490036010742,7.83080530166626,26017,home,10.183.96.137,7.83080530166626,0,11,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
11,0.4673243,1.0217813,0.79853517,0.7878418,False,,,12,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-14,1583415554,0.36385583877563477,8.194661140441895,26017,home,10.183.96.137,8.194661140441895,0,12,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
12,0.52503806,0.6608928,0.7916504,0.7632324,False,,,13,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-15,1583415555,0.3810133934020996,8.575674533843994,26017,home,10.183.96.137,8.575674533843994,0,13,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
13,0.42339224,0.833438,0.8214356,0.7418457,False,,,14,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-15,1583415555,0.3226950168609619,8.898369550704956,26017,home,10.183.96.137,8.898369550704956,0,14,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
14,0.41795826,0.698663,0.81865233,0.77739257,False,,,15,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-15,1583415555,0.36137866973876953,9.259748220443726,26017,home,10.183.96.137,9.259748220443726,0,15,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
15,0.37402946,0.6565483,0.83740234,0.8075684,False,,,16,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-16,1583415556,0.31714439392089844,9.576892614364624,26017,home,10.183.96.137,9.576892614364624,0,16,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
16,0.33911145,0.685192,0.86572266,0.784375,False,,,17,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-16,1583415556,0.31945013999938965,9.896342754364014,26017,home,10.183.96.137,9.896342754364014,0,17,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
17,0.3401798,0.6710285,0.85615236,0.7807617,False,,,18,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-16,1583415556,0.31603360176086426,10.212376356124878,26017,home,10.183.96.137,10.212376356124878,0,18,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
18,0.35506946,0.6315494,0.8352051,0.78745115,False,,,19,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-17,1583415557,0.355684757232666,10.568061113357544,26017,home,10.183.96.137,10.568061113357544,0,19,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
19,0.31029993,0.65613496,0.86191404,0.8144531,False,,,20,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-17,1583415557,0.3210175037384033,10.889078617095947,26017,home,10.183.96.137,10.889078617095947,0,20,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
20,0.31969887,0.6209344,0.8657715,0.81816405,False,,,21,0052498eaeba4bb2ba811d300cedd106,2020-03-05_14-39-18,1583415558,0.4133751392364502,11.302453756332397,26017,home,10.183.96.137,11.302453756332397,0,21,987a098a,"3_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.076584,return_sequences=True"
