epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.6267285,1.4267964,0.5755371,0.70942384,False,,,1,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-36,1583415696,11.13667893409729,11.13667893409729,30977,home,10.183.96.137,11.13667893409729,0,1,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
1,1.3447332,1.2353328,0.59111327,0.6999512,False,,,2,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-36,1583415696,0.5099420547485352,11.646620988845825,30977,home,10.183.96.137,11.646620988845825,0,2,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
2,1.2372608,1.0573725,0.6019043,0.7024414,False,,,3,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-38,1583415698,0.5528030395507812,12.199424028396606,30977,home,10.183.96.137,12.199424028396606,0,3,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
3,1.0916215,0.94308245,0.64765626,0.6994141,False,,,4,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-39,1583415699,0.4865553379058838,12.68597936630249,30977,home,10.183.96.137,12.68597936630249,0,4,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
4,0.9661674,0.88752997,0.6771973,0.714502,False,,,5,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-40,1583415700,0.5053679943084717,13.191347360610962,30977,home,10.183.96.137,13.191347360610962,0,5,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
5,0.9415403,0.8487952,0.6435547,0.6898438,False,,,6,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-40,1583415700,0.4647407531738281,13.65608811378479,30977,home,10.183.96.137,13.65608811378479,0,6,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
6,0.8635005,0.7089848,0.6814941,0.7317871,False,,,7,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-41,1583415701,0.4624660015106201,14.11855411529541,30977,home,10.183.96.137,14.11855411529541,0,7,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
7,0.736057,0.88964623,0.7002441,0.7182617,False,,,8,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-41,1583415701,0.44217610359191895,14.560730218887329,30977,home,10.183.96.137,14.560730218887329,0,8,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
8,0.83406615,0.8775324,0.6803223,0.7146484,False,,,9,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-41,1583415701,0.331096887588501,14.89182710647583,30977,home,10.183.96.137,14.89182710647583,0,9,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
9,0.7598527,0.66894436,0.6946777,0.73227537,False,,,10,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-42,1583415702,0.38588857650756836,15.277715682983398,30977,home,10.183.96.137,15.277715682983398,0,10,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
10,0.6566334,0.66643333,0.7313477,0.71914065,False,,,11,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-42,1583415702,0.480435848236084,15.758151531219482,30977,home,10.183.96.137,15.758151531219482,0,11,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
11,0.6099524,0.66337574,0.7697266,0.71547854,False,,,12,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-43,1583415703,0.5067501068115234,16.264901638031006,30977,home,10.183.96.137,16.264901638031006,0,12,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
12,0.5867286,0.6984905,0.79907227,0.7168457,False,,,13,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-45,1583415705,0.3901855945587158,16.65508723258972,30977,home,10.183.96.137,16.65508723258972,0,13,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
13,0.5200645,0.7080303,0.83208007,0.77666014,False,,,14,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-45,1583415705,0.450059175491333,17.105146408081055,30977,home,10.183.96.137,17.105146408081055,0,14,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
14,0.49451616,0.7844196,0.8347168,0.75756836,False,,,15,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-46,1583415706,0.4493744373321533,17.554520845413208,30977,home,10.183.96.137,17.554520845413208,0,15,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
15,0.4914563,0.8538042,0.8070313,0.7697754,False,,,16,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-46,1583415706,0.42365360260009766,17.978174448013306,30977,home,10.183.96.137,17.978174448013306,0,16,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
16,0.55185056,0.70617235,0.7793457,0.7765625,False,,,17,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-46,1583415706,0.4556894302368164,18.433863878250122,30977,home,10.183.96.137,18.433863878250122,0,17,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
17,0.49566865,0.71585274,0.80742186,0.74916995,False,,,18,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-47,1583415707,0.36441683769226074,18.798280715942383,30977,home,10.183.96.137,18.798280715942383,0,18,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
18,0.42996418,0.78582484,0.83154297,0.75576174,False,,,19,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-47,1583415707,0.3616752624511719,19.159955978393555,30977,home,10.183.96.137,19.159955978393555,0,19,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
19,0.43872228,0.7994616,0.8238281,0.7697754,False,,,20,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-48,1583415708,0.5479199886322021,19.707875967025757,30977,home,10.183.96.137,19.707875967025757,0,20,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
20,0.37850937,0.7792639,0.8546875,0.7631348,False,,,21,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-48,1583415708,0.4325261116027832,20.14040207862854,30977,home,10.183.96.137,20.14040207862854,0,21,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
21,0.40691975,0.7725785,0.8369629,0.7631836,False,,,22,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-49,1583415709,0.39528870582580566,20.535690784454346,30977,home,10.183.96.137,20.535690784454346,0,22,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
22,0.36923113,0.8973367,0.8444336,0.7481934,False,,,23,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-49,1583415709,0.3652825355529785,20.900973320007324,30977,home,10.183.96.137,20.900973320007324,0,23,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
23,0.3956793,0.7776441,0.8312988,0.7850586,False,,,24,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-51,1583415711,0.5227253437042236,21.423698663711548,30977,home,10.183.96.137,21.423698663711548,0,24,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
24,0.35772294,0.79502,0.842334,0.8053711,False,,,25,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-52,1583415712,0.5137841701507568,21.937482833862305,30977,home,10.183.96.137,21.937482833862305,0,25,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
25,0.36277178,0.87495255,0.85625,0.77373046,False,,,26,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-52,1583415712,0.4057810306549072,22.343263864517212,30977,home,10.183.96.137,22.343263864517212,0,26,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
26,0.3961106,0.88568795,0.81523436,0.728418,False,,,27,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-53,1583415713,0.35590076446533203,22.699164628982544,30977,home,10.183.96.137,22.699164628982544,0,27,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
27,0.3735344,0.736777,0.86274415,0.7973633,False,,,28,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-53,1583415713,0.35944199562072754,23.05860662460327,30977,home,10.183.96.137,23.05860662460327,0,28,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
28,0.35302532,0.80995965,0.8516113,0.78134763,False,,,29,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-53,1583415713,0.44747471809387207,23.506081342697144,30977,home,10.183.96.137,23.506081342697144,0,29,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
29,0.39456314,0.76807725,0.8342285,0.7720215,False,,,30,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-54,1583415714,0.4422626495361328,23.948343992233276,30977,home,10.183.96.137,23.948343992233276,0,30,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
30,0.34434167,0.71751,0.85185546,0.8061035,False,,,31,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-54,1583415714,0.4548461437225342,24.40319013595581,30977,home,10.183.96.137,24.40319013595581,0,31,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
31,0.3153696,0.780893,0.8841797,0.78032225,False,,,32,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-55,1583415715,0.5389330387115479,24.94212317466736,30977,home,10.183.96.137,24.94212317466736,0,32,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
32,0.30295226,0.92011416,0.8744141,0.77675784,False,,,33,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-55,1583415715,0.484682559967041,25.4268057346344,30977,home,10.183.96.137,25.4268057346344,0,33,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
33,0.3834165,0.95213336,0.8255371,0.72988284,False,,,34,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-56,1583415716,0.4076402187347412,25.83444595336914,30977,home,10.183.96.137,25.83444595336914,0,34,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
34,0.33975717,0.7060583,0.859375,0.84121096,False,,,35,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-56,1583415716,0.3880019187927246,26.222447872161865,30977,home,10.183.96.137,26.222447872161865,0,35,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
35,0.2976686,0.82971275,0.8906738,0.7957519,False,,,36,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-57,1583415717,0.45188045501708984,26.674328327178955,30977,home,10.183.96.137,26.674328327178955,0,36,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
36,0.30508098,0.81720024,0.8749512,0.77685547,False,,,37,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-57,1583415717,0.427048921585083,27.101377248764038,30977,home,10.183.96.137,27.101377248764038,0,37,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
37,0.31649163,1.0567567,0.8683594,0.7546875,False,,,38,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-58,1583415718,0.3334650993347168,27.434842348098755,30977,home,10.183.96.137,27.434842348098755,0,38,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
38,0.32523996,0.78000456,0.84780276,0.80014646,False,,,39,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-58,1583415718,0.40446901321411133,27.839311361312866,30977,home,10.183.96.137,27.839311361312866,0,39,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
39,0.29035708,0.78144324,0.8870605,0.8029297,False,,,40,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-58,1583415718,0.3834037780761719,28.222715139389038,30977,home,10.183.96.137,28.222715139389038,0,40,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
40,0.2648745,0.91793734,0.88369143,0.77973634,False,,,41,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-59,1583415719,0.34681129455566406,28.569526433944702,30977,home,10.183.96.137,28.569526433944702,0,41,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
41,0.26660007,0.5976966,0.88027346,0.8163086,False,,,42,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-41-59,1583415719,0.3703172206878662,28.93984365463257,30977,home,10.183.96.137,28.93984365463257,0,42,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
42,0.2706738,0.970199,0.8850586,0.78994143,False,,,43,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-42-00,1583415720,0.4017820358276367,29.341625690460205,30977,home,10.183.96.137,29.341625690460205,0,43,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
43,0.3227505,0.9982045,0.8564941,0.8018066,False,,,44,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-42-00,1583415720,0.44381070137023926,29.785436391830444,30977,home,10.183.96.137,29.785436391830444,0,44,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
44,0.3058017,0.84361285,0.8695313,0.8269043,False,,,45,5db55ef4cd384aa49265cea3a8a6024b,2020-03-05_14-42-01,1583415721,0.5184125900268555,30.3038489818573,30977,home,10.183.96.137,30.3038489818573,0,45,9c63b3de,"15_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.018191,return_sequences=True"
