epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.6975819,1.5254782,0.3235026,0.25654298,False,,,1,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-28,1583354488,22.97423505783081,22.97423505783081,8061,Maximilians-MacBook-Pro.local,10.183.65.158,22.97423505783081,0,1,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
1,1.5361581,1.5452824,0.44576824,0.24570313,False,,,2,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-30,1583354490,1.4206969738006592,24.39493203163147,8061,Maximilians-MacBook-Pro.local,10.183.65.158,24.39493203163147,0,2,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
2,1.4784225,1.5089283,0.45820314,0.29833984,False,,,3,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-31,1583354491,1.0914807319641113,25.48641276359558,8061,Maximilians-MacBook-Pro.local,10.183.65.158,25.48641276359558,0,3,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
3,1.4325566,1.405223,0.4326172,0.30507812,False,,,4,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-32,1583354492,0.7943081855773926,26.280720949172974,8061,Maximilians-MacBook-Pro.local,10.183.65.158,26.280720949172974,0,4,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
4,1.3275989,1.3786097,0.50247395,0.30664062,False,,,5,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-33,1583354493,0.8762068748474121,27.156927824020386,8061,Maximilians-MacBook-Pro.local,10.183.65.158,27.156927824020386,0,5,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
5,1.2651547,1.2536585,0.5067057,0.4959961,False,,,6,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-33,1583354493,0.6161379814147949,27.77306580543518,8061,Maximilians-MacBook-Pro.local,10.183.65.158,27.77306580543518,0,6,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
6,1.2153372,1.2985294,0.5483724,0.36914062,False,,,7,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-34,1583354494,0.6250669956207275,28.398132801055908,8061,Maximilians-MacBook-Pro.local,10.183.65.158,28.398132801055908,0,7,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
7,1.1712593,1.5998833,0.54934895,0.32255858,False,,,8,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-35,1583354495,0.7124249935150146,29.110557794570923,8061,Maximilians-MacBook-Pro.local,10.183.65.158,29.110557794570923,0,8,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
8,1.2070841,1.2147566,0.53652346,0.4991211,False,,,9,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-36,1583354496,0.5775010585784912,29.688058853149414,8061,Maximilians-MacBook-Pro.local,10.183.65.158,29.688058853149414,0,9,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
9,1.1218973,1.135431,0.55976564,0.42158204,False,,,10,83a9719e8a134bb196dfb2e89e97d902,2020-03-04_21-41-38,1583354498,0.7006990909576416,30.388757944107056,8061,Maximilians-MacBook-Pro.local,10.183.65.158,30.388757944107056,0,10,ae3ce78a,"36_batch_size=32,dim_hidden=16,lr=0.0018266,return_sequences=True"
