epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.4572787,1.9000535,0.40548313,0.26171875,False,,,1,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-06,1583447466,4.130400896072388,4.130400896072388,28033,home,10.183.96.137,4.130400896072388,0,1,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
1,1.4626356,1.575716,0.4006902,0.27713814,False,,,2,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-06,1583447466,0.4108438491821289,4.541244745254517,28033,home,10.183.96.137,4.541244745254517,0,2,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
2,1.260921,1.4495418,0.49965492,0.43577302,False,,,3,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-07,1583447467,0.39836883544921875,4.939613580703735,28033,home,10.183.96.137,4.939613580703735,0,3,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
3,1.1839193,1.6328725,0.5284126,0.46570724,False,,,4,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-07,1583447467,0.39394187927246094,5.333555459976196,28033,home,10.183.96.137,5.333555459976196,0,4,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
4,1.1066952,2.0913231,0.5249233,0.33322367,False,,,5,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-07,1583447467,0.39998722076416016,5.7335426807403564,28033,home,10.183.96.137,5.7335426807403564,0,5,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
5,1.2641053,1.5732286,0.5165644,0.40719572,False,,,6,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-08,1583447468,0.39896440505981445,6.132507085800171,28033,home,10.183.96.137,6.132507085800171,0,6,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
6,1.1151947,1.4732089,0.55417943,0.38203126,False,,,7,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-08,1583447468,0.4250335693359375,6.557540655136108,28033,home,10.183.96.137,6.557540655136108,0,7,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
7,1.0326595,1.6838858,0.5507669,0.47290295,False,,,8,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-09,1583447469,0.4511287212371826,7.008669376373291,28033,home,10.183.96.137,7.008669376373291,0,8,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
8,1.0784847,1.450053,0.55065185,0.3914885,False,,,9,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-09,1583447469,0.46953558921813965,7.478204965591431,28033,home,10.183.96.137,7.478204965591431,0,9,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
9,0.9661596,1.7917597,0.584816,0.3857319,False,,,10,e893affe51f94c22a3af74edae294174,2020-03-05_23-31-10,1583447470,0.44043540954589844,7.918640375137329,28033,home,10.183.96.137,7.918640375137329,0,10,f9244f1c,"1_batch_size=128,data_preprocessing=high_pass,dim_hidden=6,lr=0.070814,return_sequences=True"
