#measurement data v1.0
#sensorId:4
#failures:0000011000000000000000000000000010000000000100000000000000000000
#functionalisation:0;2;2;2;2;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;2
#baseLevel:2.12.2019 - 18:10:16;1453.666667;1304.733333;1582.233333;1402.8;1417.666667;1700.933333;83438.23333;2122.566667;3575.6;2851.133333;2423.8;347.9;1655.366667;1859.066667;1717.766667;2952.466667;2917.766667;2013.166667;1970.333333;2035.766667;2349.8;1976.566667;2955.8;2696.3;3174.133333;6153.133333;5605.166667;4155.466667;4338.966667;3557.166667;4312.933333;2540.333333;347.9;1857.633333;2067.566667;1918.366667;2154.133333;2668.2;3732.2;2633.666667;3259.1;3106;2659.166667;347.9;1768.3;1404.733333;1476.233333;1675.6;1974.733333;1692.9;1769.366667;1885.466667;2338.5;1452.966667;2510.666667;2781.166667;882.8333333;3864.333333;1396.9;1148.266667;1157.233333;1127.1;1118.4;2009.133333
#baseLevel:2.12.2019 - 18:12:13;1441.866667;1296.9;1567.9;1391.466667;1402.3;1685.9;80991.06667;2075.666667;3518.6;2805.633333;2401.8;347.9;1645.533333;1846.466667;1705.333333;2933.933333;2907.766667;2000.333333;1960.666667;2017.033333;2344.7;1961.833333;2918.333333;2649.4;3123.033333;6036.533333;5506.3;4087.266667;4333.866667;3502;4266.633333;2509.533333;347.9;1835.433333;2040.5;1902.166667;2130.433333;2632.433333;3666.033333;2597.066667;3205.633333;3053.733333;2639.7;347.9;1756.6;1394.966667;1466.8;1668.233333;1971.4;1686.866667;1761.833333;1867.666667;2312.333333;1442.766667;2493.233333;2730.066667;870.1666667;3832.066667;1384.533333;1135.066667;1149.666667;1116.266667;1110.433333;1988.566667
#classes:Wodka[Alk];Wasser[W];Traubensaft[Tr];Apfelsaft[Apf]
#header:timestamp;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11;ch12;ch13;ch14;ch15;ch16;ch17;ch18;ch19;ch20;ch21;ch22;ch23;ch24;ch25;ch26;ch27;ch28;ch29;ch30;ch31;ch32;ch33;ch34;ch35;ch36;ch37;ch38;ch39;ch40;ch41;ch42;ch43;ch44;ch45;ch46;ch47;ch48;ch49;ch50;ch51;ch52;ch53;ch54;ch55;ch56;ch57;ch58;ch59;ch60;ch61;ch62;ch63;ch64;user defined class;detected class
2.12.2019 - 18:10:18;1451.4;1304;1580.3;1402.4;1416.7;1699.2;84651.3;2122.1;3570.3;2850.8;2422.3;347.9;1652.1;1858.7;1715.4;2947.7;2917.5;2011.7;1967.7;2035.1;2348.9;1976.2;2951.4;2694;3172.2;6152.8;5598;4143.2;4338.2;3554.9;4314.3;2533.9;347.9;1857.7;2066.3;1917.6;2152.9;2667.3;3720.9;2625.9;3256.2;3106.6;2656.3;347.9;1767;1403.4;1476;1675.1;1972.3;1693.7;1769.3;1881;2332.3;1452.2;2510.5;2779.4;882.1;3864.3;1395.1;1147.1;1156.1;1125.4;1117.7;2009.1;;
2.12.2019 - 18:10:20;1450.8;1303.5;1579.5;1400.7;1414.5;1698.2;82145.2;2120.1;3571.2;2848;2421.4;347.9;1654;1857.5;1716.4;2947.9;2917.6;2010.2;1965.2;2030.4;2347.8;1971.8;2947.5;2693.7;3169.9;6151.1;5583.9;4147.1;4336.2;3548.6;4308.4;2537.1;347.9;1854.8;2065.8;1915.9;2149.6;2663.2;3714.6;2627.7;3256.8;3100.5;2661.8;347.9;1767.6;1403.9;1475.6;1675.4;1974.9;1691.7;1769.2;1882.3;2328.8;1451.2;2509.6;2775;881.2;3863.8;1395.3;1146.5;1155.7;1124.9;1117.5;2008.5;;
2.12.2019 - 18:10:22;1450;1304;1579.9;1402.1;1414.7;1698.1;82378.2;2119.2;3569.3;2846.2;2422.2;347.9;1652.8;1858;1713.9;2950.1;2917.6;2009.1;1963.3;2031.1;2349.5;1971.1;2951.9;2692.6;3172;6156.8;5590.5;4141;4337.4;3543;4304.3;2535.4;347.9;1855.5;2063.8;1913.6;2147.8;2661;3724;2623.7;3255.6;3102.8;2659.3;347.9;1768;1405.9;1476.4;1675.2;1973;1691.9;1769.3;1881;2334.6;1451.9;2509.5;2780.3;880.8;3863.6;1397;1147.2;1155.7;1124.9;1117.4;2003.8;;
2.12.2019 - 18:10:24;1451;1303.5;1578.1;1403;1414.8;1695.7;84988.8;2119.9;3565;2844.7;2420.6;347.9;1651.7;1856.9;1715.7;2952;2917.2;2008.5;1963.4;2031;2350.9;1972.6;2949.3;2693;3172;6139.4;5585.9;4139.9;4337.2;3545.7;4302.9;2531.8;347.9;1852.5;2064.5;1916.1;2149.3;2664.7;3711.6;2620.3;3251.8;3100.2;2657.4;347.9;1767.8;1403.9;1475.9;1674.1;1972.3;1689.7;1769.1;1881.3;2331;1451;2509.4;2770;880.3;3863;1394.4;1144.7;1154.6;1124.6;1117.1;2002.8;;
2.12.2019 - 18:10:26;1450.7;1302.2;1577.5;1400.7;1413.1;1694;83998.3;2116.4;3561.4;2843.9;2420.4;347.9;1653.8;1856.8;1713.4;2950.6;2917.8;2011;1965.8;2030.2;2348.3;1973;2949.6;2694;3164.8;6138.1;5594.9;4138.2;4336.6;3549.4;4308;2529;347.9;1852.8;2062.1;1913.6;2149.7;2659.5;3710.2;2623.5;3248.7;3100.3;2657.5;347.9;1766.1;1402;1474.9;1672.5;1971.7;1689.2;1768.4;1880.2;2331.4;1451.4;2509.4;2766.9;880.8;3864.1;1394.3;1145.6;1155.2;1123.7;1117.1;2001.9;;
2.12.2019 - 18:10:28;1449.1;1302.5;1576.8;1400.9;1414;1695.1;83530.2;2116.4;3555.2;2841.5;2419.7;347.9;1653.1;1855.5;1714.6;2949.3;2917.2;2009.1;1964.1;2033.6;2346.6;1971.5;2947.5;2691;3167.4;6138.6;5595.2;4132.1;4336.5;3538.3;4296.5;2526.5;347.9;1852.6;2062.2;1910.1;2148.4;2658.5;3712.8;2618.7;3248.9;3099.6;2655.6;347.9;1765.4;1402.4;1474;1671.7;1973.3;1688.2;1769.2;1881.1;2328.9;1450.4;2509.4;2769.4;879.9;3863.7;1394.6;1145.4;1155.6;1124.4;1117;2008.1;;
2.12.2019 - 18:10:30;1449.2;1302.4;1578.2;1399.1;1412.3;1692.5;82071.7;2114.2;3556.5;2843;2417.8;347.9;1650.1;1855.6;1713.7;2942.6;2917.3;2009.5;1964.1;2029;2348.1;1970.7;2944.8;2688.4;3166.5;6124.3;5579.4;4116.6;4334.4;3542.8;4294;2520.5;347.9;1849.8;2056.9;1911.1;2142.9;2656.1;3702.6;2617.1;3242.1;3091.6;2655.4;347.9;1765.3;1402.3;1473;1673.2;1969.8;1687.7;1768.7;1880.4;2330.4;1450.3;2509.3;2765.5;879.5;3863.6;1394.5;1145;1154.5;1123.2;1117;2002.1;;
2.12.2019 - 18:10:32;1449.4;1299.3;1577.3;1400.1;1411.6;1692.3;85318;2116.7;3568.2;2845.3;2416.8;347.9;1650.1;1854.4;1714.3;2950.3;2917.5;2009.7;1963.7;2029.2;2346.8;1970.1;2947.4;2685.6;3159.8;6130.8;5576;4129.3;4334.4;3538.1;4300.2;2526;347.9;1851.2;2055.3;1908.4;2143.7;2656;3700.6;2614.1;3235.7;3092.1;2655.8;347.9;1765.6;1402.5;1475.6;1672.8;1973.4;1688.5;1768.5;1879.5;2330.6;1450.2;2509.4;2759.7;879.4;3864;1394.4;1144.6;1154.2;1123.3;1117;1999.4;;
2.12.2019 - 18:10:33;1448.5;1300.6;1576.1;1397.3;1409.4;1693.1;81711.5;2113.1;3563;2841.4;2412.5;347.9;1648.6;1853.5;1712.3;2941.8;2914.4;2007.9;1963.8;2027.3;2347.1;1969.2;2937.3;2685.2;3160.2;6120.8;5569;4129.5;4334.4;3531.4;4291.9;2524.7;347.9;1850.1;2056.9;1909.8;2142.7;2657.1;3711;2615.5;3243.4;3088.9;2649.3;347.9;1764.1;1401.4;1472.8;1671.8;1970.6;1687.4;1767.5;1879.7;2327.7;1449.2;2509.2;2757.5;879.1;3862.5;1393.4;1143.4;1153.1;1123.2;1116.8;2000.8;;
2.12.2019 - 18:10:35;1447.2;1299.3;1575.7;1397.3;1408.4;1691.3;81058.6;2111.9;3553;2837.9;2413.8;347.9;1648.5;1853.5;1710.9;2939.9;2912.8;2007;1963.3;2028.6;2345.7;1967.3;2939.2;2686;3161.2;6118.3;5568.7;4125;4334.3;3534.4;4282;2524;347.9;1847.3;2055.2;1907.9;2139.4;2650.6;3706.1;2611.6;3244.7;3093.3;2649.9;347.9;1764.7;1402.1;1473.8;1673.9;1971.5;1687.9;1768.3;1878.7;2326.9;1449;2509.3;2754.8;879;3863.6;1394;1143.1;1153;1121.7;1116.8;2000.1;;
